Emotion,Text
neutral,"GOSSIP GIRL, ENGTIN NGE I LO KAL VE ANG ! chaceeeeeee.. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .."
neutral,Smh @ hiphop nursery hla phuah te
neutral,"@taylor_d Ni lo, a ni lo..."
neutral,"@crunchmonkey78 well ka haw chauh a, a not on till tmw at 530p mahse comcast nen chuan a on tawh a mahse i didnt miss it"
neutral,@mousebudden I&#39;ma need you to follow me real quick cause ka DM thei lo che
neutral,Hongkong International Airport-ah chuan a chhuak ta a ni. Cebu pan tur kan thlawhna lo awm tur chu darkar 3-4 vel kan nghah a ngai.
neutral,Mut theih loh leh tv-a engmah awm lo!!
neutral,@KallieT oh ... superseeded i ni tawh em? a tha tawk lo
neutral,@dorkydeanna IIII chuan a hre chiang khawp mai!!! leh mean
neutral,@BusyGod PGPM zirlai khawi atanga lo kal nge? Keimah ngei pawh hi kum 4 vel kalta khan PGPM zirlai ka ni a. Pakhat chu awm thei ila ka ti khawp mai
neutral,hnathawhna hmunah kir leh.. distraction awm lovin..
neutral,awwww hei hi ka hre ngai lo http://bit.ly/RConp
neutral,"@heavyharts that sucks well state naktuk atanga tan tur a nih avangin im headin 2 bed, nitey nite"
neutral,@mygoldmask set list in nei em? Pakhat dil ka theihnghilh xx
neutral,"Silverlight chungchanga first impression: lungchhiatthlak takin, vawiin a ka hmuh dan atanga thlir chuan buaina a awm khawp mai"
neutral,i mut hun chuan hna thawk turin ka tho a ngai
neutral,"@miss_cheryl Lucky, tunah chuan teleport ka duh ta"
neutral,FC chu a tawpah an tho leh ta. hun a ni tawh. hei hi a thleng zel tih hi i huat ber a ni
neutral,seriously bored tumah biak tur awm lovin... mahse mut tur khawpa chau lo
neutral,@keytar chu a la ni reng!! i computer kha break pe rawh omg
neutral,khawiah nge i awm?
neutral,@Forever_Yours13 Tunah hian ka ui te nen in lamah ka awm lo!
neutral,Leno show hnuhnung ber chu zanin a ni. Conan aiin ka duh zawk.
neutral,@monpio chutiang chu i nei lo
neutral,@eCheers Random hian a a
neutral,@ddlovato july... a rei lutuk
neutral,Glasses vuah hian ka lu a ti na a.
neutral,"@shanajaca Mahse @feltbeats hi Ms Twitterworld-ah phek 6-naah a awm a, vote 26 chauh a hmu"
neutral,"mut....zan tha tak tweeties!!! naktuk hian OC-ah a tla thla. Rachyl hi a dam thuai ka beisei a, ka tawngtai bawk!!!"
neutral,@iceweasel im barjohnnys ah slider ka ei a! (theyre pork tho ni lo bawnghnute la zawng mek...)
neutral,"friday here at last, nuam vak lo a nih chuan i skint though"
neutral,Naktuk zing khan khum atangin ka tho thei lovang kan hmu eeee!
neutral,"hun lai an ni a, a danglam zel"
neutral,@slickiris video hi keini hnamdang te tan a awm lo
neutral,pick up a nih hun nghak!
neutral,"@Giggles_xo dang it, chuvang chuan a chiang lo ? ? ? i tha em?"
neutral,Dave Gilmour leh Roger Waters te chu Pink Floyd concert nei tura inzawm leh se a duhsak hle
neutral,Sakawr khawpui 1 ah + car speaker 2 blown out =
neutral,Mi pakhatin coffee min siamsak cheeeeeee......
neutral,Ka hnar a hrual a
neutral,nizan khan newport-ah a awm
neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off thenkhat chu he natna rapthlak tak hi a ni
neutral,Baby hi vaccine a dawn hnuah amah a ni lo
neutral,Hallmark-a The Biggest Loser en lai a ni. Ka tap tir ngai lo nyeh.
neutral,@zaharh chu a suck! kum engzat nge i nih tak tak?
neutral,La buaithlak...
neutral,chu chu scratch rawh; stage bound-ah muhil rawh.
neutral,@officialTila Ka hmu thei lo!! its goin to ur message hlui te kha?!? &gt;&gt;&gt;&gt; ṬANGPUI?&lt;&lt;&lt;&lt;
neutral,@laurelexmachina Swimming hi ka tan chuan no go a ni
neutral,"@duciaestherine ohh ic ic haha, iyaa ka summer hi Course KHATIN a khat a, chu chu summer pumpui chhung a ni"
neutral,@Joshuah_Pearson-a chuan a rawn ti a
neutral,@ccburns Vanduaithlak takin a ni lo
neutral,@emlevins te chuan
neutral,"oops, ka paih dan tur ka hrechhuak ta"
neutral,Off to bed!! Vegas atang chuan a la chau hle
neutral,"Vawiin khan hnathawh zawhah darkar 4 chhung muhil a, zankhuain a muhil thei dawn lo This is a bummer"
neutral,Loving lil ken leh kar khat pawh tling lovah goodbye tih hlauhawm tak tak
neutral,HII!! Thatsï¿1⁄2meE!! Ka harh chuan SchooL ah ka kalG... Engvangin nge kei??
neutral,karma point dil rawh khawngaihin. A rilru a hah lutuk chuan a rilru a buai em em a
neutral,LA chuan jelly hmaah &quot;wipe the slate clean&quot; a ti a!
neutral,@seanpercival Chu invite chu beta key nen a rawn kal loh chuan ka tanpui vak dawn lo...
neutral,@Johnny_Exp ka awmna hmunah a ni lo.
neutral,@sha_da_asshole ï¿1⁄2 cant im not @ ka unaunu in ah chuan ï¿1⁄2-net tonite a awm lo
neutral,"Damn, i Facebook ah hian ? eng nge i tihsual ? thlalak a add thei lo"
neutral,"Followers 4 dang.. min follow la, ka hmangaih ang che!! *pouts* Khawngaihin?"
neutral,"@textdrivebys WII pawh i nei lo! b hian xbox a duh a, chuvang chuan chu chu kan neih chu i hmang em?"
neutral,@thunder_express zanin hian ka hmu thei lo
neutral,jay leno episode 2nd atanga last episode thlengin a inang ngai lovang! nite twitter ah a awm
neutral,Fakin&#39; kisha...ka vanneihna chauh!
neutral,so tense..so emotional...chuvangin keimah ni lo..
neutral,mi straight hook up mahse chhan dang avanga chhuah theih loh en game khelh
neutral,@daveg38 yeah vawiin hna thawk tur chuan ni khat chauh ngaihtuah ngai lovin ni ni ni....
neutral,@heresmyhello92 A nih pawh ka ring lo. Mahse ka hrechhuak thei lo.
neutral,tu emaw chuan JBs live chat vid a nei em? i was @ school ka hmu a joe hug leh tackle nick lol
neutral,@soonseeofpred becuz i inchhuang hle
neutral,"@lawikyn ze Franz hian min friend lo a, creepy stalker emaw sommat emaw ka ni an ti niin ka hria. Hmph."
neutral,"Tin, chutah chuan vawiin khan chutah chuan first kiss an nei tih i hrechhuak ta! } ."
neutral,"dont know why vawiin hian ka chau lutuk bye, beddy hun a ni"
neutral,"@syafique ooh maggi goreng. yums a ni. i ei thei lo, rilru na cmin"
neutral,@curligirl zing khan hon. chawhmeh atan eng nge i ei? Ka thutlukna siam thei lo
neutral,"ka sawi tawh em ka BF chuan WSOP employees event chu 12 hrs hnuah a bubbled a, AA Working doubles now for the next 6 weeks"
neutral,@DellOutletUK Mahse tunah chuan a awm tawh lo
neutral,"Oops, @gemamalove @chikachilo nen ka man ta"
neutral,"Friday tlai dar 4 a ni tawh a, Thawhlehni zing dar 6 khan a chhuak.... tunah chuan a awm ngei tur a ni"
neutral,@talentdmrripley mi zawng zawng tan zan mut nuam tak a ni mai thei em?
neutral,"@_erica Yea, a tough a, a kal zel theih nan. A chang chuan its worth it ka hre lo."
neutral,Dar 5:45am ah hnathawh tur =
neutral,@anthothemantho Hremhmun a ni. Ka tlai lutuk.
neutral,"@ddlovato Alaska-a kan awm tih a chiang a, hetah hian radio station tlemte chauh kan thleng thei."
neutral,"Oh noes. hey, ka tatoo hian eng nge a sawi?"
neutral,@astynes VCR ka nei lo...
neutral,@MsAKAtainment Ka hre chiang viau nain thil engemaw a lo chhuah ngei ka beisei
neutral,@claudiuvoicu chu Sun-ah a lo kir leh tur a ni (via private jet btw#!:o) mahse mite hav to stay bymyself (thnk god) kar khat dang &amp; Bruno duh!
neutral,Lu na lian tak...zan tha tak!!
neutral,"Ka en mai mai a, ID Discovery channel-ah escaped episode 5 straight a awm. Tlangval pakhat hian hmeichhe 6 chu lung inah a khung a, 2 a that a, chaw a siamsak bawk"
neutral,a 0.2 chauh a ni! Ka point 3 min pe mai rawh!
neutral,@ryanhalloran engvangin nge ni lo?
neutral,Chicago thlengin... mahse engvangin nge ka ride hian min rawn ko leh loh?
neutral,"K, zan tha rawh! Naktuk hian kindergarten shot leh physical... Bla"
neutral,Hnathawh tur chuan bus ka chuang a ngai tawh
neutral,@pegbanditkitty chu engmah a ni lo
neutral,@ecctv I rilru a hahdam chuan zan khat chhungin kum 10 ka hloh cause naute thlalak ka post a
neutral,"@scumm_boy Ka ngaihtuah che hi pawi ka ti hle a, kar khat chu a tha lehzual ka beisei!"
neutral,mannnn..... @alllyy_ chuan iphone a nei ta!!! im jealous.... A rilru a hah lutuk chuan a rilru a buai em em a
neutral,"@regent_lord Aww, YouTube-ah i dah tur a ni."
neutral,Will miss nostalgia ... mi zawng zawngin tushar hi kick rawh u
neutral,a ti tha (or i sawi chhe tur em ni?) chawhnu! A rilru a hah lutuk chuan a rilru a buai em em a
neutral,number 10 ka nei tih a sawi~ a hniam chho zel~~ http://plurk.com/p/wxpdr
neutral,@summer_eyes ka hriat ka duh khawp mai! Tumblr chiam chu.
neutral,Naktuk hian Business exam neih a ni ang
neutral,grimsby atanga lo kir leh chu a sucks bein back mahse amazin wknd a ni anyway!!
neutral,"@allysonalfonso haha, its under 18 :@ so ive got no one to go with curse ka thiante zingah TAI duh lo lol"
neutral,@angelazodiak Aww ka traumatized mai thei.
neutral,Ugh. Vawiin khan thil tam lutuk a thleng. Kuah ka mamawh takzet
neutral,@n3rin3 Ur pic a awm tawh lo
neutral,engtin nge i twitter thin?
neutral,@JWess awww ok lol beisei angin by than im still here leh state hrang hrangah back over lo
neutral,"@djcoombs ka hnathawhna hmunah ni lo. mahse, tûn laiah chuan kawr kawrfual kawrfual chu a ngai tak zet a ni!"
neutral,6 est hi Aus time ah convert dan hre tu emaw a awm em? ROFL xD chuan radio disney a rawn ti a
neutral,@sakshijuneja ok chu chu subt takin fave temme ka ni tawh lo tih a ni 1 thil - firangs te khan i vocab an ru em ni? ur ei thu leh engtin nge!
neutral,FYI THURSTAG thleng hian internet a awm lo!!!! saturday hnuah chuan chutiang ni chhung chuan 800x in productive zawk ka ni ang tih hriatna ka nei.
neutral,"Political website pakhatah account ka sign up a, chutiang chuan comment ka post thei a mahse a thawk tha lo."
neutral,Engtin Nge Ka Mut Loh Theih Loh?? A Tha lo
neutral,@typicalrouse I would but its like 1800 or 1000+ miles gas man hi a crazy im doing alpine next summer most def
neutral,has an exam at 10am - Nizan khan darkar 3 vel ka mu a
neutral,Ohio-ah emaw atleast relatively close-ah emaw awm ila ka duh khawp mai! Kum khat dawn lai @SmallTown_Troy emaw @Derk_McLoven emaw ka la hmu lo.
neutral,@3Gguy leh hun rei vak lo chhungin clue hnuhnung ber an hmu vek
neutral,ka phone hian a la tweet lo
neutral,"@blindcripple Ngaihtuahna tha Brain, Twitter-ah i awm lo thei lo..."
neutral,"@mrskutcher chuan library website a check chauh a, hmeichhe naupang dragon tattoo nei chu a check chhuak ta"
neutral,Hnathawh ah ka awm a
neutral,"@portugaltheman @liftingfaces Khawiah nge hlate chu site-ah an kal a, he computer-ah pawh hian &quot;Do You&quot; hi ka duh a ni"
neutral,@CheetahmamiBia oooo ok engvangin nge ka friends request hi i pawm loh
neutral,possum pakhat a thah hnuah in a thleng chauh
neutral,... chu chu a ni mai
neutral,@anshprat yahoo maps te chu! thil tam tak duhthusam #yahoo
neutral,"facebook quiz hi boredom damdawi pakhat a ni haha, ka ha/ka a na"
neutral,@debbylovespr Kei pawhin pakhat ka nei ve tho nain ka ta hi movie The Soloist-a seizure inducing color/light show vang niin ka hria.
neutral,mi zawng zawng zanriah ṭha rawh u.
neutral,@IsaGoksu http://yfrog.com/11z2ip engmah a awm lo
neutral,"dik tak, netbook duh tak tak. mrr. Techno-lust hian a suck a"
neutral,@RichardGiles mine pools... midang pocket ah chauh
neutral,@ndrew10 Ka hria!!!! Min zawt lo
neutral,@MrsSOsbourne Ozzy hian a la follow lo che a ni
neutral,TweetDeck hian access limit a thlen chuan ka huat ber
neutral,@ANAIZZ chawlh hahdam i duh mai thei...i promise you wont retain the knowledge sleepy
neutral,"@Wolfie85 @christelmcr Ah sameway Mahse,@mikeyway hian vote 2006 a nei ((.Vote tam zawk kan mamawh :&#39;D"
neutral,Monte Cristo sandwich ka duh sooo... BAd!!!
neutral,&quot;Marley and Me&quot; ka en zawh chauh.
neutral,@GeoffComma a dik lo
neutral,"Nina chu ka kawngah a awm a, mahse zuang thla mai mai a tum"
neutral,"swine flu hi robina, gold coast-ah a awm a ni"
neutral,Def duh chuan cuddle it out maybe play mahse tih tur nei lo bc a hla hle
neutral,Gotta go chhuak leh tur a ni.
neutral,Command list halp ka hmuh theih nan twitter ah eng nge i text tih ka hre lo
neutral,@gettothefalcon chu chu ka ngai ve bawk
neutral,Zanin thleng hian anythgin ka en thei lo
neutral,"@workhomexpert Nope, chhiar nawn leh vek rawh. Thil tihsual tihna a ni lo"
neutral,Jay Leno hian The Tonight Show host atan show pakhat a la nei leh dawn a ni
neutral,@TLuke08 hian a chang chuan kal a thil dang tih hian chu chu a tidam thin
neutral,..vawiin hian ka graduate
neutral,@504chucky whats with u hating on becky hi a ni em? ur bio chuan ur nice a ti....guess not
neutral,@Salamandroid its not just you - a dik takin tun kar chhung hian dragged a ni
neutral,hmel chu bumna a ni thei
neutral,"Week-end a tawp tawh a, tunah chuan hna thawh leh hun a ni tawh"
neutral,Summer chu a tawp dawn ta. Mi thenkhat tan chuan a intan dawn chauh a ni. Hahah.
neutral,"@toddh3284 T, tunah hian ka bo tawh sooooo"
neutral,"@CHARITY_GANT popularity contest an nei a, twitter hian a pui dawn niin an ngai.... chu chu trendy a ni ta"
neutral,madd bored a ni
neutral,"Ka nupui chu naktuk show atan guest list-ah a tel thei lo a, a awm loh avangin. HO TE. Show-ah hian nupui an awm lo niin ka ring."
neutral,@jesssicababesss @IvanaE @RachelLock22 DECEMBER... kum khat chauh a awm tawh ang...
neutral,Ugh cant sleep ah hian he bus ah hian kan muhil thei lo. darkar 5 ang vel an la nei
neutral,Zu hian taksa rihna a ti tlahniam lo.
neutral,a tho hma lutuk
neutral,3am i la muhil thei lo
neutral,Zanin hian Novaliches-ah ka thian duh tak Marlito Sy-a wake-a kal tur
neutral,i sooooooooo dont want to kal hna thawk turin vawiin hian nice pawnah.
neutral,camera blower mamawh.. ka camera censor rawn thawn rawh..
neutral,Vintage rap kar tawp lamah chuan a tha ber berte nen: MC Hammer - U can&#39;t touch this http://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
neutral,... Pawisa pawisa pawisa... http://twitpic.com/664uz
neutral,ruah sur karah chuan a kal haw ta a.
neutral,@mvermut translation = mi pakhatin min zirtir a ngai dawn tih sh-t buaithlak tak
neutral,"bored, tih tur nei lo"
neutral,@PorkChopJones Sorry insawn leh dawn em ni?
neutral,@_anniemay OMG A dik lo
neutral,"@RockedByPickler no I won&#39;t honey I got mad yrs to go , engvangin nge ka â?"
neutral,"Got back leh laundry chu a dah lut ta a. Kan lut a, last o well as long as its clean. #DSAA09 a ni"
neutral,Brake hun hman a ni!! Chawhmeh ei tur engmah a awm lo. Tonite chuan.
neutral,bike rent + trail hriat loh random bumps awmna + tlang lian tak tak + naupang = hmeichhe naupang pakhat vuak. B chhungkaw chawlh ni tha tak a ni lo.
neutral,"London marathon ka ti tawh ang maiin ka hria a, ka taksa pum a na"
neutral,@DantiChos baby hian math lamah min pui rawh
neutral,Epicfail leh Joseph chu class-ah... Rei tak liao
neutral,taksa lam thil. Tunah chuan coo a ni tawh i hre ta. Steam engemaw zat lettin off mai rawh.
neutral,"@vivzy chuan hmun dangah ka handset cover, pen drive leh headphone thlak a duh a..guess its not happening..."
neutral,@HomeSwapperteam bgt-a i twit hian eng nge a awmzia i tiam chung pawhin swap i la hmuh loh zinga mi pakhat chauh ka ni ngei ang
neutral,ka thinlung a ruak a ni
neutral,October thla thleng ka ship out lo
neutral,Chu contest chu ka chicken out lo a nih chuan ka chak ngei ang
neutral,Poltergeist a ni! Ka inah chuan
neutral,@Joseph_KHC chuan a rawn ti a. lucky XD ka break chu a tawp dawn. ka class te hi @ june 4 atang hian tan a ni ang
neutral,FML la harh melatonin hna thawk lo!
neutral,"Augh, khawsik a lo sang leh ta. Naktuk zan hian WeHo clubbing ka tlawh loh tawp chuan ka thinrim dawn a ni. Boytoy â chuan hripui min pe a."
neutral,@BrentLauren chu chu nuam a ti lo
neutral,Mut turin lo kal rawh
neutral,mal ..
neutral,Betty tan chuan ka root a.
neutral,Qmbol-ah a tla
neutral,Chutiang vawk chu ka ni
neutral,@Burgandy1 Hmeichhia ka hria!
neutral,@metafisix show-ah hian i tel ve dawn niin ka hria
neutral,"Bucky, ka ferret hian official takin insulinoma a nei tawh a Tunah chuan nitin prednisone a ei thin. Vawiin khan p-doc nen interview kan nei a, testing neihpui turin monday-ah kir leh a ngai."
neutral,Zan tha khawvel! Zing dar 5-ah ka tho a ngai
neutral,"@Fasn8nUrMind ima goodgirl Ka down lo a, ka tan advantage"
neutral,gahh!! tunah hian ka chau lutuk.
neutral,@whitespider1066 &quot;infiamna&quot;??? Advanced load phurh theihna system. Mi 1 awmna pawn lama chenna tur man tlawm zawk. Wolverine glove chu ka hmu lo
neutral,"???ï¿1⁄2ï¿1⁄2 ???CE d grade?mock?????, ???????"
neutral,pawisa tam tak mamawh a ni
neutral,tih tur i nei lo
neutral,@AdamKruth chu a serious hle mai! Sat hian a work out tha zawk mai thei
neutral,i got no followers i only have like 2 mi pakhatin Min follow khawngaihin?
neutral,Thianpa. mi zawng zawngin an ti thei. a chhe tur chuan ment a ni lo..
neutral,@TerrenceJ106 I bulah ka awm...zan hnuhnung ber atang khan 5-6 thleng ka tho tawh...
